key,value,date
80-97M,0,00:00
75-79M,0,00:00
70-74M,0,00:00
70-74F,0,00:00
65-69M,0,00:00
65-69F,0,00:00
60-64M,0,00:00
60-64F,0,00:00
55-59M,0,00:00
55-59F,0,00:00
50-54M,0,00:00
50-54F,0,00:00
45-49M,0,00:00
45-49F,0,00:00
40-44M,0,00:00
40-44F,0,00:00
35-39M,0,00:00
35-39F,0,00:00
30-34M,0,00:00
30-34F,0,00:00
25-29M,0,00:00
25-29F,0,00:00
20-24M,0,00:00
20-24F,0,00:00
15-19M,0,00:00
15-19F,0,00:00
11-14M,0,00:00
11-14F,0,00:00
0-10M,0,00:00
0-10F,0,00:00
80-97M,0,00:10
75-79M,0,00:10
70-74M,0,00:10
70-74F,0,00:10
65-69M,0,00:10
65-69F,0,00:10
60-64M,0,00:10
60-64F,0,00:10
55-59M,0,00:10
55-59F,0,00:10
50-54M,0,00:10
50-54F,0,00:10
45-49M,0,00:10
45-49F,0,00:10
40-44M,0,00:10
40-44F,0,00:10
35-39M,0,00:10
35-39F,0,00:10
30-34M,0,00:10
30-34F,0,00:10
25-29M,0,00:10
25-29F,0,00:10
20-24M,0,00:10
20-24F,0,00:10
15-19M,0,00:10
15-19F,0,00:10
11-14M,0,00:10
11-14F,0,00:10
0-10M,0,00:10
0-10F,0,00:10
80-97M,0,00:20
75-79M,0,00:20
70-74M,0,00:20
70-74F,0,00:20
65-69M,0,00:20
65-69F,0,00:20
60-64M,0,00:20
60-64F,0,00:20
55-59M,0,00:20
55-59F,0,00:20
50-54M,0,00:20
50-54F,0,00:20
45-49M,0,00:20
45-49F,0,00:20
40-44M,0,00:20
40-44F,2,00:20
35-39M,0,00:20
35-39F,0,00:20
30-34M,0,00:20
30-34F,1,00:20
25-29M,0,00:20
25-29F,1,00:20
20-24M,0,00:20
20-24F,0,00:20
15-19M,0,00:20
15-19F,0,00:20
11-14M,0,00:20
11-14F,0,00:20
0-10M,0,00:20
0-10F,0,00:20
80-97M,0,00:30
75-79M,0,00:30
70-74M,0,00:30
70-74F,0,00:30
65-69M,1,00:30
65-69F,0,00:30
60-64M,0,00:30
60-64F,0,00:30
55-59M,0,00:30
55-59F,0,00:30
50-54M,0,00:30
50-54F,1,00:30
45-49M,2,00:30
45-49F,0,00:30
40-44M,1,00:30
40-44F,2,00:30
35-39M,3,00:30
35-39F,0,00:30
30-34M,1,00:30
30-34F,1,00:30
25-29M,2,00:30
25-29F,2,00:30
20-24M,1,00:30
20-24F,2,00:30
15-19M,1,00:30
15-19F,1,00:30
11-14M,0,00:30
11-14F,0,00:30
0-10M,0,00:30
0-10F,0,00:30
80-97M,0,00:40
75-79M,0,00:40
70-74M,0,00:40
70-74F,0,00:40
65-69M,1,00:40
65-69F,0,00:40
60-64M,3,00:40
60-64F,0,00:40
55-59M,3,00:40
55-59F,0,00:40
50-54M,5,00:40
50-54F,1,00:40
45-49M,8,00:40
45-49F,1,00:40
40-44M,10,00:40
40-44F,1,00:40
35-39M,7,00:40
35-39F,7,00:40
30-34M,7,00:40
30-34F,1,00:40
25-29M,3,00:40
25-29F,3,00:40
20-24M,2,00:40
20-24F,1,00:40
15-19M,3,00:40
15-19F,1,00:40
11-14M,2,00:40
11-14F,2,00:40
0-10M,1,00:40
0-10F,0,00:40
80-97M,0,00:50
75-79M,0,00:50
70-74M,2,00:50
70-74F,1,00:50
65-69M,3,00:50
65-69F,1,00:50
60-64M,3,00:50
60-64F,0,00:50
55-59M,7,00:50
55-59F,2,00:50
50-54M,10,00:50
50-54F,5,00:50
45-49M,12,00:50
45-49F,12,00:50
40-44M,14,00:50
40-44F,13,00:50
35-39M,4,00:50
35-39F,19,00:50
30-34M,10,00:50
30-34F,15,00:50
25-29M,6,00:50
25-29F,6,00:50
20-24M,5,00:50
20-24F,5,00:50
15-19M,2,00:50
15-19F,1,00:50
11-14M,0,00:50
11-14F,0,00:50
0-10M,0,00:50
0-10F,1,00:50
80-97M,1,01:00
75-79M,1,01:00
70-74M,1,01:00
70-74F,0,01:00
65-69M,3,01:00
65-69F,1,01:00
60-64M,2,01:00
60-64F,3,01:00
55-59M,4,01:00
55-59F,2,01:00
50-54M,5,01:00
50-54F,4,01:00
45-49M,4,01:00
45-49F,11,01:00
40-44M,5,01:00
40-44F,11,01:00
35-39M,5,01:00
35-39F,22,01:00
30-34M,5,01:00
30-34F,22,01:00
25-29M,3,01:00
25-29F,17,01:00
20-24M,0,01:00
20-24F,4,01:00
15-19M,0,01:00
15-19F,0,01:00
11-14M,3,01:00
11-14F,0,01:00
0-10M,0,01:00
0-10F,1,01:00
80-97M,0,01:10
75-79M,0,01:10
70-74M,0,01:10
70-74F,0,01:10
65-69M,0,01:10
65-69F,0,01:10
60-64M,1,01:10
60-64F,3,01:10
55-59M,1,01:10
55-59F,2,01:10
50-54M,0,01:10
50-54F,2,01:10
45-49M,2,01:10
45-49F,7,01:10
40-44M,0,01:10
40-44F,6,01:10
35-39M,2,01:10
35-39F,11,01:10
30-34M,2,01:10
30-34F,9,01:10
25-29M,0,01:10
25-29F,3,01:10
20-24M,0,01:10
20-24F,4,01:10
15-19M,0,01:10
15-19F,0,01:10
11-14M,0,01:10
11-14F,0,01:10
0-10M,0,01:10
0-10F,0,01:10
80-97M,0,01:20
75-79M,1,01:20
70-74M,0,01:20
70-74F,0,01:20
65-69M,0,01:20
65-69F,0,01:20
60-64M,4,01:20
60-64F,3,01:20
55-59M,0,01:20
55-59F,1,01:20
50-54M,1,01:20
50-54F,1,01:20
45-49M,0,01:20
45-49F,6,01:20
40-44M,0,01:20
40-44F,5,01:20
35-39M,0,01:20
35-39F,5,01:20
30-34M,1,01:20
30-34F,4,01:20
25-29M,1,01:20
25-29F,3,01:20
20-24M,2,01:20
20-24F,0,01:20
15-19M,0,01:20
15-19F,1,01:20
11-14M,0,01:20
11-14F,0,01:20
0-10M,0,01:20
0-10F,0,01:20
80-97M,0,01:30
75-79M,0,01:30
70-74M,0,01:30
70-74F,0,01:30
65-69M,1,01:30
65-69F,0,01:30
60-64M,0,01:30
60-64F,0,01:30
55-59M,0,01:30
55-59F,2,01:30
50-54M,0,01:30
50-54F,2,01:30
45-49M,0,01:30
45-49F,4,01:30
40-44M,0,01:30
40-44F,0,01:30
35-39M,0,01:30
35-39F,1,01:30
30-34M,0,01:30
30-34F,0,01:30
25-29M,0,01:30
25-29F,0,01:30
20-24M,0,01:30
20-24F,0,01:30
15-19M,0,01:30
15-19F,0,01:30
11-14M,0,01:30
11-14F,0,01:30
0-10M,0,01:30
0-10F,0,01:30
80-97M,0,01:40
75-79M,0,01:40
70-74M,0,01:40
70-74F,0,01:40
65-69M,0,01:40
65-69F,0,01:40
60-64M,0,01:40
60-64F,0,01:40
55-59M,0,01:40
55-59F,0,01:40
50-54M,0,01:40
50-54F,0,01:40
45-49M,0,01:40
45-49F,2,01:40
40-44M,0,01:40
40-44F,1,01:40
35-39M,2,01:40
35-39F,2,01:40
30-34M,0,01:40
30-34F,1,01:40
25-29M,0,01:40
25-29F,0,01:40
20-24M,0,01:40
20-24F,0,01:40
15-19M,0,01:40
15-19F,0,01:40
11-14M,0,01:40
11-14F,0,01:40
0-10M,0,01:40
0-10F,0,01:40
80-97M,0,01:50
75-79M,0,01:50
70-74M,0,01:50
70-74F,0,01:50
65-69M,0,01:50
65-69F,0,01:50
60-64M,0,01:50
60-64F,0,01:50
55-59M,0,01:50
55-59F,0,01:50
50-54M,0,01:50
50-54F,0,01:50
45-49M,0,01:50
45-49F,0,01:50
40-44M,0,01:50
40-44F,0,01:50
35-39M,0,01:50
35-39F,0,01:50
30-34M,0,01:50
30-34F,0,01:50
25-29M,0,01:50
25-29F,0,01:50
20-24M,0,01:50
20-24F,0,01:50
15-19M,0,01:50
15-19F,0,01:50
11-14M,0,01:50
11-14F,0,01:50
0-10M,0,01:50
0-10F,0,01:50
